condition,drug_name,review_count,average_rating,total_useful_count,positive_reviews,mixed_reviews,negative_reviews,positive_rate,quality_flags
abnormal uterine bleeding,medroxyprogesterone,474,3.31,7309,82,63,329,0.173,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,depo-provera,413,3.12,5544,66,50,297,0.160,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,levonorgestrel,342,5.34,4842,131,57,154,0.383,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,mirena,316,5.27,4841,118,53,145,0.373,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,ethinyl estradiol norgestimate,181,4.53,1187,52,30,99,0.287,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,ethinyl estradiol levonorgestrel,140,4.50,819,40,18,82,0.286,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,ethinyl estradiol norethindrone,106,5.41,786,35,32,39,0.330,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,norethindrone,75,4.13,1063,15,16,44,0.200,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,sprintec,49,3.78,434,12,5,32,0.245,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,loestrin 24 fe,48,6.21,561,19,16,13,0.396,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,seasonique,48,3.85,421,10,6,32,0.208,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,provera,46,4.61,1754,13,9,24,0.283,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,tri-sprintec,25,5.04,198,8,6,11,0.320,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,mononessa,23,6.00,214,11,2,10,0.478,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,ethinyl estradiol norgestrel,20,6.25,71,11,3,6,0.550,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,megestrol,19,6.42,360,11,3,5,0.579,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,estarylla,19,3.47,65,3,3,13,0.158,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,trinessa,15,5.93,65,7,3,5,0.467,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,tri-previfem,15,2.87,128,1,2,12,0.067,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,loseasonique,14,4.21,92,2,5,7,0.143,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,nora-be,13,5.54,209,4,4,5,0.308,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,aviane,10,8.30,46,9,0,1,0.900,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,ortho micronor,9,6.78,264,5,1,3,0.556,patient_reported_not_prescribing_guidance
abnormal uterine bleeding,junel fe 1 20,9,5.44,86,2,4,3,0.222,patient_reported_not_prescribing_guidance
